Nr	Group	Position	Locus	LOD	# Iter.	mu_A	mu_H	mu_B	Variance	% Expl.	Additive	Dominance	GIC
164	1	131.369		1.59	1	 0.329213	-0.112265	 2.45391	 1.77516	 30.7	-1.06235	-1.50383	0.845
165	1	132.369		1.63	1	 0.325331	-0.197022	 2.45201	 1.75922	 31.3	-1.06334	-1.58569	0.868
166	1	133.369		1.67	1	 0.321982	-0.344801	 2.44760	 1.74431	 31.9	-1.06281	-1.72959	0.895
167	1	134.369		1.70	1	 0.319269	-0.651876	 2.44110	 1.73032	 32.4	-1.06091	-2.03206	0.926
168	1	135.369		1.73	1	 0.317278	-1.57848	 2.43283	 1.71715	 32.9	-1.05778	-2.95353	0.960
169	1	136.369		1.77	1	 0.316079	-38.2880	 2.42308	 1.70474	 33.4	-1.05350	-39.6576	0.998
170	1	136.422	i41638Gh	1.76	1	 0.266667	 1.33333	 2.40000	 1.70667	 33.3	-1.06667	0.0	1.000
171	1	136.422	i47325Gh	1.76	1	 0.266667	 1.33333	 2.40000	 1.70667	 33.3	-1.06667	0.0	1.000
172	1	137.422		1.75	1	 0.155405	 6.63552	 2.30573	 1.71143	 33.1	-1.07516	 5.40496	0.961
173	1	138.422		1.70	1	 0.151783	 3.74140	 2.31524	 1.73220	 32.3	-1.08173	 2.50789	0.926
174	1	139.422		1.64	1	 0.150171	 2.75497	 2.32249	 1.75442	 31.5	-1.08616	 1.51864	0.893
175	1	140.422		1.58	1	 0.150774	 2.24343	 2.32727	 1.77806	 30.5	-1.08825	 1.00441	0.863
176	1	141.422		1.52	1	 0.153789	 1.92018	 2.32941	 1.80307	 29.6	-1.08781	 0.678578	0.836
177	1	142.422		1.46	1	 0.159397	 1.68965	 2.32876	 1.82934	 28.5	-1.08468	 0.445568	0.812
178	1	143.422		1.39	1	 0.167757	 1.51088	 2.32519	 1.85675	 27.5	-1.07872	 0.264411	0.790
179	1	144.422		1.33	1	 0.178993	 1.36346	 2.31861	 1.88514	 26.4	-1.06981	 0.114652	0.771
180	1	145.422		1.26	1	 0.193191	 1.23608	 2.30900	 1.91429	 25.2	-1.05790	-0.0150129	0.755
181	1	146.422		1.20	1	 0.210380	 1.12208	 2.29634	 1.94396	 24.1	-1.04298	-0.131275	0.741
182	1	147.422		1.13	1	 0.230534	 1.01735	 2.28069	 1.97387	 22.9	-1.02508	-0.238264	0.730
183	1	148.422		1.06	1	 0.253554	 0.919284	 2.26215	 2.00371	 21.7	-1.00430	-0.338570	0.722
184	1	149.422		1.00	1	 0.279268	 0.826274	 2.24086	 2.03315	 20.6	-0.980794	-0.433788	0.716
185	1	150.422		0.94	1	 0.307426	 0.737370	 2.21697	 2.06183	 19.5	-0.954771	-0.524827	0.712
186	1	151.422		0.88	1	 0.337697	 0.652093	 2.19067	 2.08941	 18.4	-0.926488	-0.612092	0.711
187	1	152.422		0.83	1	 0.369679	 0.570318	 2.16216	 2.11556	 17.4	-0.896241	-0.695601	0.713
188	1	153.422		0.78	1	 0.402900	 0.492183	 2.13161	 2.13996	 16.4	-0.864354	-0.775071	0.717
189	1	154.422		0.73	1	 0.436837	 0.418026	 2.09918	 2.16236	 15.5	-0.831170	-0.849981	0.724
190	1	155.422		0.69	1	 0.470933	 0.348323	 2.06499	 2.18255	 14.7	-0.797028	-0.919638	0.733
191	1	156.422		0.66	1	 0.504615	 0.283642	 2.02913	 2.20039	 14.0	-0.762259	-0.983232	0.745
192	1	157.422		0.63	1	 0.537324	 0.224578	 1.99165	 2.21583	 13.4	-0.727165	-1.03991	0.759
193	1	158.422		0.60	1	 0.568539	 0.171711	 1.95257	 2.22887	 12.9	-0.692017	-1.08885	0.776
194	1	159.422		0.58	1	 0.597804	 0.125545	 1.91189	 2.23961	 12.5	-0.657042	-1.12930	0.796
195	1	160.422		0.56	1	 0.624746	 0.0864672	 1.86960	 2.24822	 12.2	-0.622427	-1.16071	0.818
196	1	161.422		0.55	1	 0.649094	 0.0547096	 1.82573	 2.25493	 11.9	-0.588318	-1.18270	0.843
197	1	162.422		0.54	1	 0.670690	 0.0303221	 1.78034	 2.25999	 11.7	-0.554826	-1.19519	0.871
198	1	163.422		0.53	1	 0.689482	 0.0131645	 1.73354	 2.26369	 11.6	-0.522031	-1.19835	0.902
199	1	164.422		0.53	1	 0.705522	 0.00291266	 1.68552	 2.26631	 11.5	-0.489997	-1.19261	0.935
200	1	165.422		0.53	1	 0.718951	-0.000920491	 1.63650	 2.26813	 11.4	-0.458773	-1.17864	0.971
201	1	166.157	i11910Gh	0.52	1	 0.727273	 0.00000	 1.60000	 2.26909	 11.4	-0.436364	-1.16364	1.000
202	1	167.157		0.52	1	 0.727379	-0.00594073	 1.60023	 2.26911	 11.4	-0.436427	-1.16975	0.981
203	1	167.982	i17501Gh	0.52	1	 0.727223	-0.0100526	 1.59989	 2.26915	 11.4	-0.436334	-1.17361	0.998
204	2	0.000	i11506Gh	1.24	1	 0.509622	 1.99523	 0.0128288	 1.92600	 24.8	 0.248396	 1.73400	0.990
205	2	1.000		1.14	1	 0.467009	 1.92580	 0.00861393	 1.97024	 23.0	 0.229198	 1.68799	0.965
206	2	2.000		1.00	1	 0.484097	 1.80021	 0.00533190	 2.03520	 20.5	 0.239383	 1.55549	0.959
207	2	3.000		0.84	1	 0.562207	 1.64181	 0.00252111	 2.10777	 17.7	 0.279843	 1.35944	0.972
208	2	3.903	i11553Gh	0.72	1	 0.666667	 1.50000	 0.00000	 2.16667	 15.4	 0.333333	 1.16667	1.000
209	2	4.903		0.65	1	 0.703435	 1.42191	-0.000210646	 2.20634	 13.8	 0.351823	 1.07030	0.983
210	2	5.672	i00478Gh	0.58	1	 0.800000	 1.33333	 0.00000	 2.24000	 12.5	 0.400000	 0.933333	1.000
211	2	6.672		0.53	1	 0.880589	 1.26468	-0.000186799	 2.26522	 11.5	 0.440388	 0.824477	0.983
212	2	7.442	i00329Gh	0.50	1	 1.00000	 1.20000	 0.00000	 2.28000	 10.9	 0.500000	 0.700000	1.000
213	2	7.442	i17407Gh	0.50	1	 1.00000	 1.20000	 0.00000	 2.28000	 10.9	 0.500000	 0.700000	1.000
214	2	8.442		0.52	1	 0.922429	 1.23897	-0.0256811	 2.27331	 11.2	 0.474055	 0.790592	0.965
215	2	9.442		0.53	1	 0.848475	 1.27797	-0.0468053	 2.26571	 11.5	 0.447640	 0.877132	0.941
216	2	10.442		0.54	1	 0.783847	 1.31282	-0.0614301	 2.25844	 11.8	 0.422639	 0.951608	0.927
217	2	11.442		0.55	1	 0.732869	 1.33930	-0.0675499	 2.25303	 12.0	 0.400209	 1.00664	0.923
218	2	12.442		0.56	1	 0.697390	 1.35427	-0.0635772	 2.25094	 12.1	 0.380484	 1.03737	0.930
219	2	13.442		0.55	1	 0.676592	 1.35646	-0.0487804	 2.25306	 12.0	 0.362686	 1.04255	0.947
220	2	14.442		0.54	1	 0.667708	 1.34651	-0.0234738	 2.25962	 11.7	 0.345591	 1.02440	0.974
221	2	15.146	i20003Gh	0.53	1	 0.666667	 1.33333	 0.00000	 2.26667	 11.5	 0.333333	 1.00000	1.000
222	2	15.146	i20002Gh	0.53	1	 0.666667	 1.33333	 0.00000	 2.26667	 11.5	 0.333333	 1.00000	1.000
223	2	16.146		0.53	1	 0.666189	 1.33315	-0.0272795	 2.26713	 11.4	 0.346734	 1.01370	0.975
