Nr	Group	Position	Locus	LOD	# Iter.	mu_A	mu_H	mu_B	Variance	% Expl.	Additive	Dominance	GIC
212	1	170.117		0.38	1	 1.62539	 1.15011	 1.69215	 1.18951	  4.8	-0.0333789	-0.508654	0.972
213	1	171.025	i49339Gh	0.37	1	 1.62529	 1.15328	 1.66682	 1.19156	  4.6	-0.0207652	-0.492781	1.000
214	1	172.025		0.31	1	 1.62351	 1.18279	 1.66184	 1.20101	  3.9	-0.0191652	-0.459891	0.968
215	1	173.025		0.24	1	 1.59713	 1.22170	 1.65621	 1.21088	  3.1	-0.0295420	-0.404970	0.951
216	1	174.025		0.19	1	 1.54323	 1.26684	 1.64997	 1.21994	  2.3	-0.0533679	-0.329761	0.951
217	1	175.025		0.14	1	 1.46820	 1.31172	 1.64328	 1.22681	  1.8	-0.0875411	-0.244022	0.966
218	1	175.834	i42222Gh	0.12	1	 1.40182	 1.34298	 1.63770	 1.23022	  1.5	-0.117941	-0.176779	0.989
219	1	176.834		0.14	1	 1.38015	 1.33723	 1.66277	 1.22703	  1.8	-0.141312	-0.184230	0.955
220	1	177.834		0.15	1	 1.35172	 1.33997	 1.68074	 1.22473	  2.0	-0.164511	-0.176258	0.931
221	1	178.834		0.16	1	 1.31882	 1.34978	 1.69173	 1.22318	  2.1	-0.186457	-0.155496	0.916
222	1	179.834		0.17	1	 1.28376	 1.36507	 1.69677	 1.22207	  2.2	-0.206503	-0.125195	0.911
223	1	180.834		0.18	1	 1.24944	 1.38442	 1.69697	 1.22109	  2.3	-0.223768	-0.0887893	0.916
224	1	181.834		0.18	1	 1.21984	 1.40619	 1.69331	 1.22002	  2.3	-0.236731	-0.0503795	0.930
225	1	182.834		0.19	1	 1.19962	 1.42817	 1.68671	 1.21882	  2.4	-0.243544	-0.0149934	0.954
226	1	183.362	i04311Gh	0.20	1	 1.19398	 1.43896	 1.68243	 1.21817	  2.5	-0.244226	 0.000748727	0.970
227	1	184.362		0.22	1	 1.15864	 1.46504	 1.68026	 1.21446	  2.8	-0.260811	 0.0455922	0.942
228	1	185.362		0.25	1	 1.12730	 1.49433	 1.67667	 1.21010	  3.1	-0.274689	 0.0923428	0.923
229	1	186.362		0.28	1	 1.10235	 1.52495	 1.67205	 1.20527	  3.5	-0.284850	 0.137747	0.914
